ID,Name,Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance
0x17f6,Toonkeln,33,30788.44_,2623.703333,7,9,31,6,"Credit-Builder Loan, Payday Loan, Home Equity Loan, Credit-Builder Loan, Personal Loan, and Credit-Builder Loan",49,20,18.73,9,Bad,3470.08,28.70868275,1 Years and 10 Months,NM,114.5330209,__10000__,High_spent_Large_value_payments,325.549853
0x180e,Pomeroyi,339,148699.32,12432.61,3,4,5,3,"Personal Loan, Mortgage Loan, and Payday Loan",13,6,9.2,1,Good,949.38,31.24258209,31 Years and 3 Months,No,364.9151774,998.6343355,Low_spent_Large_value_payments,149.7114871
0x181a,Olivia Oranr,20,85554.03,7185.5025,4,2,3,0,,10,4,6.43,3,Good,1095.73,37.21528826,20 Years and 3 Months,No,0,212.0066445,Low_spent_Large_value_payments,776.5436055
0x1826,Rachelle Younglaic,16,55829.79,4369.4825,10,10,18,8,"Student Loan, Home Equity Loan, Payday Loan, Debt Consolidation Loan, Not Specified, Not Specified, Personal Loan, and Payday Loan",30,21,27.99,11,Bad,3422.49,36.47040878,11 Years and 1 Months,Yes,314.9017853,349.4767696,Low_spent_Small_value_payments,62.56969511
0x1832,Shupingu,27,14165.23,1057.435833,7,10,33,9,"Credit-Builder Loan, Personal Loan, Credit-Builder Loan, Mortgage Loan, Personal Loan, Payday Loan, Payday Loan, Payday Loan, and Student Loan",54,24,8.82,11,Bad,2797.17,37.84559432,14 Years and 7 Months,Yes,58.86844084,124.5051789,Low_spent_Small_value_payments,212.3699636
0x183e,"""John ODonnell""p",30,87215.68,7489.973333,2,6,8,2,"Auto Loan, and Payday Loan",0,5,10.98,0,Good,680.77,32.85399968,21 Years and 4 Months,NM,121.6820167,85.08977068,High_spent_Medium_value_payments,792.2255459
0x184a,Scheydere,43,81842.28,6810.19,10,9,25,9,"Student Loan, Auto Loan, Personal Loan, Auto Loan, Credit-Builder Loan, Payday Loan, Home Equity Loan, Auto Loan, and Personal Loan",20,19,16.25,11,Bad,3053.16,25.35635929,1 Years and 0 Months,Yes,574.0657979,,High_spent_Large_value_payments,253.6356826
0x186e,Simon Jessope,14,39887.22,3224.935,9,9,16,-100,"Not Specified, Student Loan, Auto Loan, Home Equity Loan, and Mortgage Loan",57,21,17.25,14,Bad,3119.6,24.49877358,13 Years and 1 Months,NM,133.4708452,37.21031013,High_spent_Large_value_payments,391.8123446
0x187a,Kazunorit,44,14129.76,1023.217588,8,5,21,8,"Student Loan, Payday Loan, Personal Loan, Not Specified, Mortgage Loan, Student Loan, Debt Consolidation Loan, and Debt Consolidation Loan",62,18,5.51,6,Bad,4071.62,26.83136802,NA,NM,70.97506655,,Low_spent_Small_value_payments,237.1026861
0x1887,Ekr,43,123732.32,10416.02667,4,3,11,0,,15,8,8.92,4,Good,1154.46,38.32820802,28 Years and 0 Months,No,0,,Low_spent_Medium_value_payments,587.6350858
0x18b6,Tim Hepherp,21,69977.6,5978.466667,10,7,20,9,"Auto Loan, Personal Loan, Mortgage Loan, Auto Loan, Student Loan, Auto Loan, Mortgage Loan, Student Loan, and Auto Loan",49,18,6.81,15,Bad,3042.36,21.36749558,13 Years and 4 Months,NM,485.750431,365.126316,Low_spent_Large_value_payments,16.96991963
0x18c2,Granto,16,78988.48,6449.373333,9,5,29,7,"Auto Loan, Credit-Builder Loan, Mortgage Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Debt Consolidation Loan",24,15,10.27,9,Bad,1746.9,30.67835731,10 Years and 9 Months,Yes,291.7827603,__10000__,!@9#%8,495.0402863
0x18ce,Ermans,-500,41746.76,3651.896667,8,5,31,3,"Mortgage Loan, Personal Loan, and Not Specified",62,21,9.81,11,Bad,1936.79,39.70319209,19 Years and 9 Months,Yes,102.2833975,__10000__,High_spent_Medium_value_payments,374.5851578
0x18da,Isabel Reynoldsb,22_,19981.6,1459.133333,10,8,20,7,"Credit-Builder Loan, Home Equity Loan, Home Equity Loan, Student Loan, Student Loan, Home Equity Loan, and Credit-Builder Loan",55,21,23.58,12,Bad,4834.59,36.1846715,NA,Yes,78.41827155,69.86882801,Low_spent_Medium_value_payments,277.6262338
0x18f2,Christopher Doeringv,34,88362.46,,5,2,8,3,"Debt Consolidation Loan, Home Equity Loan, and Personal Loan",12,11,11.01,6,Good,325.93,36.20338081,31 Years and 4 Months,No,211.1843903,78.92670382,High_spent_Large_value_payments,675.4427392
0x18fe,Michelley,46,118248.6,10115.05,5,1,4,0,,14,7,3.69,8,Good,191.09,33.35938773,17 Years and 9 Months,No,0,693.6329565,Low_spent_Small_value_payments,607.8720435
0x1923,Goldsteinv,18,54820.89,4295.4075,8,7,28,6,"Home Equity Loan, Mortgage Loan, Debt Consolidation Loan, Home Equity Loan, Personal Loan, and Personal Loan",41,17,18.42,,Bad,4795.13,25.11068862,3 Years and 8 Months,Yes,169.4819843,__10000__,Low_spent_Medium_value_payments,370.3720212
0x1946,Longstrethy,43,45207.54,,8,8,24,6,"Mortgage Loan, Auto Loan, Personal Loan, Student Loan, Home Equity Loan, and Student Loan",24,17,9.78,13,Bad,2497.48,35.68594084,NA,Yes,148.9132734,128.1154716,High_spent_Medium_value_payments,323.700755
0x1952,Lisah,18,144546.72,10653.04311,0,3,7,2,"Payday Loan, and Not Specified",15,4,6.08,1,Good,1045.11,37.44814122,23 Years and 7 Months,No,1293.505449,312.6505198,High_spent_Medium_value_payments,981.3169235
0x1976,David Henryp,42,9841.34_,690.1116667,8,9,31,5,"Personal Loan, Payday Loan, Auto Loan, Debt Consolidation Loan, and Debt Consolidation Loan",64,12,29.52,10,Bad,4984.82_,35.47926697,5 Years and 1 Months,Yes,36.67512792,23.72428477,!@9#%8,298.611754
0x1982,Oreskovicv,35,72330.98,,0,3,11,1,Auto Loan,1,6,4.62,1,Good,596.78,39.45053019,33 Years and 4 Months,No,31.37979416,258.7938124,Low_spent_Large_value_payments,609.8845601
0x19be,Blenkinsopc,21,44719.17,3969.5975,6,6,29,7,"Payday Loan, Auto Loan, Credit-Builder Loan, Debt Consolidation Loan, Credit-Builder Loan, Auto Loan, and Personal Loan",42,19,27.21,14,Bad,3818.57,24.25286503,13 Years and 7 Months,Yes,248.5998859,132.1554493,Low_spent_Large_value_payments,286.2044148
0x1a06,Alexh,18,14841.35,1437.779167,6,5,17,7,"Mortgage Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, Mortgage Loan, and Student Loan",60,13,_,6,Bad,3865.15,33.74540509,8 Years and 1 Months,Yes,71.54474307,53.31965576,Low_spent_Small_value_payments,308.9135178
0x1a12,Lisa Baertleink,22,66105.4,,6,8,31,5,"Mortgage Loan, Auto Loan, Not Specified, Student Loan, and Payday Loan",30,22,1.52,12,Bad,1549.56,39.8128103,11 Years and 10 Months,Yes,214.0721231,172.8113821,!@9#%8,438.4948282
0x1a1e,Aruna Viswanathau,28_,15398.95,,1,1226,5,4,"Student Loan, Mortgage Loan, Not Specified, and Not Specified",-2,1_,5.41,8,Good,343.84,41.42348018,28 Years and 11 Months,No,34.81396986,64.37268235,Low_spent_Medium_value_payments,335.6379311
0x1a4e,Suev,22,18305.25,1557.4375,2,1,4,0,,14,9,5.27,3,Good,363.51,23.76629396,20 Years and 9 Months,NM,0,95.1739001,Low_spent_Small_value_payments,350.5698499
0x1a72,Steve Slatery,34,14205.09,1086.7575,7,10,21,8,"Student Loan, Not Specified, Not Specified, Credit-Builder Loan, Student Loan, Mortgage Loan, Not Specified, and Student Loan",33,20,19.42,16,Bad,4845.24,30.66834577,14 Years and 0 Months,Yes,49.03239547,42.2870896,Low_spent_Medium_value_payments,297.3562649
0x1a7e,ita Bosed,28,62320.56,5068.38,9,9,18,5,"Debt Consolidation Loan, Home Equity Loan, Auto Loan, Home Equity Loan, and Debt Consolidation Loan",23,14,17.24,15,Bad,3589.56,28.2046909,NA,NM,171.3455597,210.7211217,High_spent_Medium_value_payments,374.7713186
0x1aae,Vaughano,28,17759.1,1533.925,6,8,19,5,"Student Loan, Personal Loan, Home Equity Loan, Home Equity Loan, and Auto Loan",24,20,5.2,10,Bad,3598.39,22.08115311,5 Years and 5 Months,Yes,64.55062049,15.19396054,High_spent_Large_value_payments,313.647919
0x1aba,Doris Frankelj,37,85328.73,6858.7275,3,4,11,1,Student Loan,12,17,1.83,2,Good,585.05,24.33710788,32 Years and 3 Months,No,68.45896611,291.3699981,High_spent_Small_value_payments,586.0437858
0x1af7,Soyoungc,32,38364.82,2904.068333,9,6,32,4,"Not Specified, Debt Consolidation Loan, Home Equity Loan, and Mortgage Loan",34,24,3.44,12,Bad,1973.63,29.24692972,20 Years and 0 Months,Yes,74.85037188,85.17822119,High_spent_Medium_value_payments,380.3782403
0x1b0e,ernieh,55,19403.405,1904.950417,1,7,3,3_,"Debt Consolidation Loan, Debt Consolidation Loan, and Credit-Builder Loan",13,9,8.9,6,Good,339.11,36.5308568,17 Years and 0 Months,NM,39.21491443,250.1575755,Low_spent_Small_value_payments,191.1225517
0x1b26,John McCrankg,20,15015.4,,5,5,9,1,Debt Consolidation Loan,26,11,5.04,1,Good,330.17,33.399435,22 Years and 3 Months,No,11.68573457,136.5411226,Low_spent_Small_value_payments,263.1014761
0x1b33,Hornbyg,34,19777.05_,1728.0875,5,3,3,3,"Student Loan, Debt Consolidation Loan, and Auto Loan",16,3,5.95,1,Good,186.16,25.75867179,22 Years and 4 Months,No,29.04553332,11.7641184,High_spent_Large_value_payments,371.9990983
0x1b3e,Toonkelf,25,20188.02,1851.335,4,3,6,3,"Mortgage Loan, Student Loan, and Mortgage Loan",12,6,1.31,0,Good,399.92,27.42703869,20 Years and 10 Months,No,25.58028082,71.70424222,Low_spent_Medium_value_payments,367.848977
0x1b56,Stevee,32,55151.04,4704.92,10,6,23,6,"Auto Loan, Auto Loan, Credit-Builder Loan, Not Specified, Not Specified, and Not Specified",31,17,10.64,9,Bad,1743.83,40.90438823,12 Years and 10 Months,Yes,171.8230674,85.60562278,High_spent_Medium_value_payments,463.0633098
0x1b6e,Rl,29,147499.6,12353.63333,2,2,12,2,"Payday Loan, and Debt Consolidation Loan",14,2,4.21,2,Good,1250.67,34.91628876,20 Years and 11 Months,No,192.2064833,131.3810358,High_spent_Large_value_payments,1151.775814
0x1b87,Clarkew,33,19795.52,1662.626667,7,10,34,8,"Mortgage Loan, Home Equity Loan, Personal Loan, Payday Loan, Not Specified, Student Loan, Payday Loan, and Payday Loan",20,21,22.79,15,Bad,3135.02,33.64511755,3 Years and 0 Months,Yes,130.4754707,122.2216697,Low_spent_Medium_value_payments,193.5655263
0x1b92,Taylorq,34,60938.13,5163.1775,10,8,31,8,"Payday Loan, Payday Loan, Not Specified, Student Loan, Mortgage Loan, Payday Loan, Mortgage Loan, and Credit-Builder Loan",23,18,17.49,9,Bad,3947.24,34.57781446,5 Years and 6 Months,Yes,378.3046734,106.6120577,High_spent_Medium_value_payments,281.4010189
0x1b9e,Marilynj,54,80396.86,6623.738333,5,7,9,0,,8,11,10.47,1,Good,1357.54,38.68914863,27 Years and 1 Months,No,0,104.5126165,High_spent_Medium_value_payments,807.8612168
0x1baa,Browningo,43,57610.32,4517.86,8,10,25,9,"Personal Loan, Student Loan, Payday Loan, Personal Loan, Not Specified, Not Specified, Mortgage Loan, Not Specified, and Home Equity Loan",41,20,21.31,7,Bad,4428.64,34.33216221,2 Years and 1 Months,Yes,256.2341792,305.531324,High_spent_Small_value_payments,150.0204968
0x1bce,Strupczewskid,48,94554.87,7914.5725,2,6,2,0,,8,1,9.24,3,Good,1487.9,41.07895768,22 Years and 9 Months,No,0,470.5309025,High_spent_Small_value_payments,580.9263475
0x1c16,Carolinew,48,37071.2,3006.266667,1636,6,6,4,"Home Equity Loan, Debt Consolidation Loan, Personal Loan, and Payday Loan",14,2,11.56,4,Good,869.99,36.35808717,NA,No,74.69027138,259.8360464,Low_spent_Small_value_payments,256.1003489
0x1c22,Appsq,20,41735.55,3357.9625,0,3,8,4,"Not Specified, Payday Loan, Payday Loan, and Debt Consolidation Loan",15,4,11.25,3,Good,1480.92,28.24519369,NA,No,109.6141467,134.3728878,High_spent_Medium_value_payments,341.8092155
0x1c2e,Ilainar,38,40391.66,3357.971667,10,7,18,3,"Payday Loan, Not Specified, and Mortgage Loan",35,21,3.51,12,Bad,1950.62,37.9281347,8 Years and 7 Months,Yes,60.3708284,104.681756,High_spent_Small_value_payments,430.7445823
0x1cb2,Lashx,48,28587.29,,4,644,7,0,,0,0,-5.78,1,Good,1496.38,39.84616037,24 Years and 10 Months,No,0,,High_spent_Medium_value_payments,441.8497753
0x1cca,en Klaymant,20,74647.4,6327.616667,6,5,20,-100,"Not Specified, Not Specified, Not Specified, Mortgage Loan, Student Loan, and Auto Loan",52,17,26.16,13,Bad,4167.43,24.4878511,13 Years and 11 Months,Yes,309.5754021,721.1593856,Low_spent_Small_value_payments,
0x1cfa,Ben Berkowitze,28,91690.53,7795.8775,2,6,2,2,"Home Equity Loan, and Not Specified",6,8,1.95,4,Good,1295.18,41.28342451,31 Years and 7 Months,No,130.8508578,,High_spent_Large_value_payments,722.5577567
0x1d2a,Dineshi,33,42220.39,3433.686488,1,4,1,4,"Credit-Builder Loan, Student Loan, Mortgage Loan, and Mortgage Loan",9,9,7.48,1,Good,257.81,25.226334,23 Years and 0 Months,No,191.9497411,,Low_spent_Small_value_payments,40.20749636
0x1d36,Carlos Ruanov,51,43581.13,3566.760833,4,3,9,3,"Auto Loan, Student Loan, and Student Loan",18,3,8.56,2,Good,900.83,29.39279136,23 Years and 9 Months,No,103.0330777,143.4420789,High_spent_Medium_value_payments,360.2009268
0x1d42,Sinead Carewi,50,28681.38,2127.115,3,5,2,0,,0,5,2.82,4,Good,467.64,40.37522449,19 Years and 7 Months,No,0,118.9970903,!@9#%8,373.7144097
0x1d5a,Mutikanit,49,15488.885_,1273.740417,0,4,4,0,,6,-2,1.38,9,Good,1287.59,31.95903059,25 Years and 10 Months,No,0,55.74682893,High_spent_Small_value_payments,331.6272127
0x1d8a,Costa Alisterq,-500,35161.46,,10,8,32,6,"Student Loan, Credit-Builder Loan, Home Equity Loan, Personal Loan, Home Equity Loan, and Mortgage Loan",61,18,6.49,15,Bad,4445.32,30.00964547,8 Years and 7 Months,Yes,113.3910842,91.99853655,Low_spent_Large_value_payments,357.6225459
0x1d96,Aileen Wangy,34,9133.045,777.0870833,6,7,34,6,"Home Equity Loan, Mortgage Loan, Credit-Builder Loan, Mortgage Loan, Student Loan, and Student Loan",61,14,15.26,11,Bad,3035.88,25.43822256,NA,Yes,64047,65.83274998,Low_spent_Medium_value_payments,261.6749259
0x1da2,Hollx,23,19283.47,1886.955833,10,8,34,9,"Home Equity Loan, Debt Consolidation Loan, Auto Loan, Debt Consolidation Loan, Payday Loan, Student Loan, Personal Loan, Payday Loan, and Credit-Builder Loan",38,15_,26.43,13,Bad,4404.48,28.15248174,NA,Yes,84.61643173,130.3278343,High_spent_Small_value_payments,233.7513173
0x1dae,Alastair Sharpe,24,66502.76,,0,6,3869,2,"Mortgage Loan, and Personal Loan",29,10,7.06,4,Good,276.91,26.59930914,19 Years and 4 Months,No,80.10017431,142.9911398,High_spent_Medium_value_payments,564.8983525
0x1dc7,Alisteri,47,70112.78,5989.731667,1,7,3,-100,"Mortgage Loan, and Student Loan",7,3,1.75,5,Good,877.06,27.08586999,25 Years and 7 Months,NM,69.71794787,91.7246916,High_spent_Large_value_payments,677.5305272
0x1dd2,Alexei Anishchukz,18,15604.56,1389.38,9,5,25,3,"Debt Consolidation Loan, Home Equity Loan, and Not Specified",23,23,8.08,13,Bad,2686.18,29.51509129,20 Years and 0 Months,NM,37.91235014,86.08554976,Low_spent_Small_value_payments,304.9401001
0x1e0f,Thomaso,30,9783.245,908.2704167,8,6,29,8,"Not Specified, Credit-Builder Loan, Not Specified, Credit-Builder Loan, Auto Loan, Payday Loan, Mortgage Loan, and Credit-Builder Loan",43,17,7.75,7,Bad,1684.06,30.83774144,19 Years and 2 Months,Yes,52.83913367,35.12845533,Low_spent_Small_value_payments,292.8594527
0x1e26,Lopezu,22,124419.66,10221.305,3,4,11,4,"Home Equity Loan, Home Equity Loan, Payday Loan, and Mortgage Loan",13,10,7.12,0,Good,923.85,41.15442334,32 Years and 7 Months,No,344.1815356,128.8337903,High_spent_Medium_value_payments,799.1151741
0x1e32,Viswanathan,50_,15606.515,1234.542917,3,4,6,4,"Personal Loan, Personal Loan, Personal Loan, and Student Loan",11,,9.37,2,Good,257.85,29.90281836,33 Years and 7 Months,No,35.62637254,31.60255315,High_spent_Small_value_payments,316.225366
0x1e3e,Matthew Goldsteinb,25,28230.92,,8,6,32,7,"Personal Loan, Home Equity Loan, Credit-Builder Loan, Not Specified, Home Equity Loan, Personal Loan, and Personal Loan",49,14,28.17,14,Bad,2989.13,26.49256116,7 Years and 6 Months,Yes,132.4811279,107.2187184,High_spent_Small_value_payments,238.7578204
0x1e6f,Gillesb,20,33335.24,3059.936667,1,6,8,1,Student Loan,1,10,4.07,8,Good,1226.23,33.11959811,21 Years and 11 Months,No,21.53854806,,Low_spent_Small_value_payments,376.8839655
0x1e7a,Sara Rossii,32,131577.84,11205.82,2,3,3,2,"Credit-Builder Loan, and Personal Loan",14,2,-2.47,7,Good,816.21,30.07758543,21 Years and 11 Months,No,185.4121959,1016.569038,Low_spent_Medium_value_payments,198.600766
0x1e86,Dhanya Skariachand,49,10850224,,2,5,5,3,"Student Loan, Credit-Builder Loan, and Not Specified",9,11,8.54,2,Good,1339.6,37.00105631,22 Years and 4 Months,No,204.9179108,90.11070841,High_spent_Small_value_payments,370.2621001
0x1e92,Chuck Mikolajczaky,20,7477136,4870.966667,0,5,7,1,Payday Loan,13,3,11.42,2,Good,71.52,36.42427389,33 Years and 7 Months,No,27.6545998,46.65008321,High_spent_Large_value_payments,652.7919837
0x1eaa,Pelofskyv,34,83703.52,6955.293333,6,9,27,8,"Not Specified, Payday Loan, Home Equity Loan, Auto Loan, Home Equity Loan, Student Loan, Credit-Builder Loan, and Personal Loan",31,17,30.02,10,Bad,4525.08,35.42396922,11 Years and 0 Months,NM,363.2373117,477.4585718,!@9#%8,144.8334499
0x1eda,Scuffhamx,22,29608.46,2625.371667,7,8,31,7,"Personal Loan, Auto Loan, Personal Loan, Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, and Credit-Builder Loan",43,19,9.06,10,Bad,1286.07,23.89829117,15 Years and 6 Months,Yes,141.7642823,231.2661204,Low_spent_Medium_value_payments,169.506764
0x1ee6,Taylora,30,29999.94_,2767.995,10,9,15,5,"Auto Loan, Payday Loan, Mortgage Loan, Student Loan, and Mortgage Loan",42,19,7.67,13,Bad,2593.23_,36.99699447,16 Years and 9 Months,Yes,101.6474842,105.3830783,Low_spent_Large_value_payments,339.7689375
0x1f16,Toonkeld,19,97961.96,,4,6,6,0,,5,7,5.46,3,Good,750.95,34.59776864,28 Years and 10 Months,NM,0,548.1540668,Low_spent_Medium_value_payments,552.3955999
0x1f22,Deepa Seetharamanv,48,31895.07,2488.9225,3,6,2,4,"Personal Loan, Student Loan, Student Loan, and Not Specified",16,10,3.06,2,Good,220.33,40.23007768,22 Years and 4 Months,No,60.32284544,100.1168045,High_spent_Medium_value_payments,338.4526001
0x1f2e,enu,32,30922.28,,1,5,12,2,"Student Loan, and Mortgage Loan",19,1,11.71,2,Good,957.53,32.66914113,21 Years and 11 Months,No,30.33820426,335.8942566,Low_spent_Small_value_payments,173.2532058
0x1f52,Roumeliotisv,27_,39696.98,3211.081667,5,5,10,1_,Not Specified,11,2465,1.98,4,Good,133.3,35.21246024,21 Years and 11 Months,No,31.90658017,100.6951534,High_spent_Medium_value_payments,438.5064331
0x1f6a,Taylorj,52,13074.395,1356.532917,8,7,8,1,Personal Loan,10,4246,0.96,6,Good,1048.26,35.33793065,30 Years and 7 Months,NM,9.175797471,65.54194243,Low_spent_Small_value_payments,350.9355518
0x1fb2,Schnurrk,46,19951.765,1592.647083,1,1,12,2,"Personal Loan, and Mortgage Loan",5,1186,2.89,5,Good,1463.07,29.46651804,33 Years and 4 Months,No,28.21305815,128.896182,Low_spent_Small_value_payments,292.1554682
0x1fbe,Jonathan Spicers,36,94454.1,8102.175,1,4,5,3,"Credit-Builder Loan, Home Equity Loan, and Home Equity Loan",9,6,1.63,6,Good,1342.61,23.52014452,30 Years and 5 Months,No,152.5068947,881.5372577,Low_spent_Small_value_payments,66.17334758
0x1fee,Tom Milese,40,122978.43,10514.2025,0,1,9,3,"Home Equity Loan, Student Loan, and Debt Consolidation Loan",13,4,7.33,3,Good,1197.33,30.55760345,28 Years and 6 Months,No,168.0066864,499.7731077,High_spent_Small_value_payments,643.640456
0x1ffa,Robinsonl,32,7821.24,468.77,8,10,29,6,"Mortgage Loan, Personal Loan, Home Equity Loan, Personal Loan, Auto Loan, and Payday Loan",62,17,19.34,7,Bad,2924.76,38.84434525,10 Years and 5 Months,Yes,19.72792349,55.54852462,Low_spent_Small_value_payments,261.6005519
0x2012,Steven C.g,29,7709.625_,625.46875,7,9,31,6,"Personal Loan, Personal Loan, Mortgage Loan, Credit-Builder Loan, Debt Consolidation Loan, and Not Specified",27,18,13.01,14,Bad,2518.98,24.82268689,8 Years and 10 Months,Yes,24.40931155,52.20108203,Low_spent_Small_value_payments,275.9364814
0x201e,Laura Noonanp,54,34547.54,,6,6,5,-100,Personal Loan,19,13,10.59,6,Good,939.31,33.28311591,22 Years and 10 Months,No,27.76471097,76.33312326,High_spent_Small_value_payments,455.3983324
0x202a,Yokog,30,173196.32,14258.02667,4,7,9,1,Home Equity Loan,7,5,13.06,4,Good,967.23,43.23686054,29 Years and 1 Months,No,107.8108996,546.7536544,High_spent_Medium_value_payments,1021.238113
0x204e,Vidalonw,15,8882.47,555.2058333,9,7,19,7,"Personal Loan, Credit-Builder Loan, Not Specified, Payday Loan, Credit-Builder Loan, Debt Consolidation Loan, and Auto Loan",40,15,15.62,7,Bad,1580.91,36.33929257,19 Years and 10 Months,Yes,27.52869913,__10000__,Low_spent_Small_value_payments,270.6735839
0x205a,env,2526,34128.92,2740.076667,6,8,31,6,"Student Loan, Personal Loan, Home Equity Loan, Not Specified, Home Equity Loan, and Credit-Builder Loan",18,22,3.99,13,Bad,2626.28,36.46608514,6 Years and 1 Months,Yes,118.0668546,56.43822153,High_spent_Large_value_payments,339.5025905
0x207e,Prakashy,14,74733.44,5229.153085,368,6,19,5,"Payday Loan, Mortgage Loan, Payday Loan, Student Loan, and Not Specified",17,17,22.48,12,Bad,4685.34,36.93075856,3 Years and 4 Months,Yes,900.1733535,63.52561124,High_spent_Large_value_payments,574.3132835
0x208a,Katev,44,8681.77,647.4808333,6,9,23,7,"Student Loan, Personal Loan, Not Specified, Not Specified, Debt Consolidation Loan, Debt Consolidation Loan, and Auto Loan",47,24,19.6,1094,Bad,2216.25,25.97985396,15 Years and 0 Months,Yes,28.44218887,58.19128307,Low_spent_Large_value_payments,248.1146114
0x20a2,Doug Palmerf,41,20540.49,1637.830211,0,4,8,1,Payday Loan,3,3,7.09,2,Good,1118.37,34.70124636,16 Years and 3 Months,No,230.6989484,153.3564595,Low_spent_Large_value_payments,293.7926308
